243111
   5.5735000e+05   7.1342500e+06   4.2545102e+02
   5.6072500e+05   7.1342500e+06   4.3379135e+02
   5.6072500e+05   7.1374750e+06   4.3152841e+02
   5.5735000e+05   7.1310250e+06   4.1915421e+02
   5.5397500e+05   7.1310250e+06   4.5266452e+02
   5.5397500e+05   7.1374750e+06   4.4657455e+02
   5.5735000e+05   7.1374750e+06   4.4460632e+02
   5.5397500e+05   7.1342500e+06   4.6000128e+02
   5.6072500e+05   7.1310250e+06   4.2680197e+02
   5.6241257e+05   7.1374750e+06   4.4664285e+02
   5.6241258e+05   7.1390876e+06   4.2680963e+02
   5.6072500e+05   7.1326375e+06   4.4033102e+02
   5.6241257e+05   7.1342500e+06   4.1057285e+02
   5.6241257e+05   7.1326375e+06   4.1100000e+02
   5.5903750e+05   7.1326375e+06   4.3284717e+02
   5.5735000e+05   7.1326375e+06   4.1997406e+02
   5.5903750e+05   7.1342500e+06   4.4304245e+02
   5.6072500e+05   7.1358625e+06   4.4771863e+02
   5.5903750e+05   7.1358625e+06   4.4959055e+02
   5.5228743e+05   7.1374750e+06   4.5355588e+02
   5.5228743e+05   7.1358625e+06   4.6002075e+02
   5.5903750e+05   7.1310250e+06   4.3287262e+02
   5.5903750e+05   7.1374750e+06   4.5080905e+02
   5.5735000e+05   7.1358625e+06   4.5962030e+02
   5.5228743e+05   7.1310250e+06   4.4038007e+02
   5.5228743e+05   7.1326375e+06   4.4098962e+02
   5.5397500e+05   7.1326375e+06   4.4087204e+02
   5.5397497e+05   7.1294124e+06   4.6438306e+02
   5.5228745e+05   7.1294125e+06   4.5113544e+02
   5.5566247e+05   7.1294124e+06   4.2931781e+02
   5.5734997e+05   7.1294124e+06   4.1943842e+02
   5.6241257e+05   7.1358625e+06   4.2801566e+02
   5.6241254e+05   7.1294125e+06   4.3111948e+02
   5.6072496e+05   7.1294124e+06   4.1100000e+02
   5.6241257e+05   7.1310250e+06   4.1108987e+02
   5.5566250e+05   7.1310250e+06   4.2664532e+02
   5.5903746e+05   7.1294124e+06   4.1099783e+02
   5.5228747e+05   7.1390875e+06   4.6392706e+02
   5.5566250e+05   7.1342500e+06   4.5982690e+02
   5.5566250e+05   7.1326375e+06   4.4011050e+02
   5.5397500e+05   7.1358625e+06   4.5941736e+02
   5.5566250e+05   7.1374750e+06   4.4108231e+02
   5.5566250e+05   7.1358625e+06   4.4589291e+02
   5.6072504e+05   7.1390876e+06   4.1192465e+02
   5.5903754e+05   7.1390876e+06   4.4026233e+02
   5.5735003e+05   7.1390876e+06   4.3355014e+02
   5.5566253e+05   7.1390876e+06   4.4993576e+02
   5.5228743e+05   7.1342500e+06   4.4312952e+02
   5.5397503e+05   7.1390876e+06   4.5900549e+02
   5.5228743e+05   7.1382812e+06   4.5972049e+02
   5.5144393e+05   7.1374751e+06   4.4975339e+02
   5.5144393e+05   7.1382813e+06   4.6023441e+02
   5.5650625e+05   7.1358625e+06   4.4825500e+02
   5.5650625e+05   7.1366688e+06   4.4100003e+02
   5.5735000e+05   7.1366688e+06   4.4917456e+02
   5.6325607e+05   7.1390874e+06   4.1141901e+02
   5.6325603e+05   7.1398935e+06   4.4882214e+02
   5.6241257e+05   7.1334438e+06   4.1113248e+02
   5.6325606e+05   7.1342499e+06   4.1100000e+02
   5.6325608e+05   7.1334437e+06   4.1100000e+02
   5.5819375e+05   7.1334438e+06   4.4457477e+02
   5.5735000e+05   7.1334438e+06   4.2192957e+02
   5.5819375e+05   7.1342500e+06   4.4184555e+02
   5.5481875e+05   7.1326375e+06   4.4912085e+02
   5.5481875e+05   7.1318313e+06   4.3764911e+02
   5.5397500e+05   7.1318313e+06   4.4119769e+02
   5.5903750e+05   7.1350563e+06   4.5003970e+02
   5.5819375e+05   7.1350563e+06   4.4383365e+02
   5.6241257e+05   7.1382813e+06   4.1167130e+02
   5.6156875e+05   7.1374750e+06   4.2471249e+02
   5.6156875e+05   7.1382813e+06   4.2285559e+02
   5.5144393e+05   7.1358626e+06   4.5072842e+02
   5.5144393e+05   7.1350563e+06   4.6573114e+02
   5.5988125e+05   7.1326375e+06   4.4812946e+02
   5.5988125e+05   7.1334438e+06   4.4235385e+02
   5.6072500e+05   7.1334438e+06   4.5193747e+02
   5.5481875e+05   7.1358625e+06   4.3278085e+02
   5.5481875e+05   7.1350563e+06   4.5357709e+02
   5.5397500e+05   7.1350563e+06   4.4912567e+02
   5.5313125e+05   7.1350562e+06   4.5995990e+02
   5.5313125e+05   7.1342500e+06   4.4937271e+02
   5.5228761e+05   7.1286065e+06   4.4084564e+02
   5.5313122e+05   7.1294124e+06   4.4101663e+02
   5.5313134e+05   7.1286064e+06   4.4547839e+02
   5.5650622e+05   7.1294124e+06   4.3082407e+02
   5.5650625e+05   7.1302187e+06   4.1812997e+02
   5.5735000e+05   7.1302187e+06   4.1877585e+02
   5.5819375e+05   7.1358625e+06   4.4815466e+02
   5.5735000e+05   7.1350563e+06   4.4096658e+02
   5.5566250e+05   7.1302187e+06   4.2239862e+02
   5.5481872e+05   7.1294124e+06   4.2776111e+02
   5.5481875e+05   7.1302187e+06   4.2930112e+02
   5.5144396e+05   7.1390877e+06   4.7083606e+02
   5.5650625e+05   7.1350563e+06   4.3776123e+02
   5.5566250e+05   7.1350563e+06   4.4449585e+02
   5.5313125e+05   7.1326375e+06   4.4548273e+02
   5.5313125e+05   7.1334437e+06   4.5427362e+02
   5.5397500e+05   7.1334438e+06   4.5656815e+02
   5.5903741e+05   7.1398936e+06   4.2861349e+02
   5.5988116e+05   7.1398936e+06   4.1814227e+02
   5.5819366e+05   7.1398936e+06   4.1929324e+02
   5.5819379e+05   7.1390876e+06   4.3257303e+02
   5.5650628e+05   7.1390876e+06   4.3323740e+02
   5.5650625e+05   7.1382813e+06   4.6132095e+02
   5.5566250e+05   7.1382813e+06   4.4591428e+02
   5.5144375e+05   7.1286063e+06   4.5000323e+02
   5.6325607e+05   7.1318312e+06   4.1100003e+02
   5.6325608e+05   7.1310249e+06   4.1264148e+02
   5.6325606e+05   7.1326374e+06   4.1100052e+02
   5.6241257e+05   7.1318313e+06   4.1099973e+02
   5.6241257e+05   7.1366688e+06   4.1898700e+02
   5.6325607e+05   7.1374749e+06   4.1099500e+02
   5.6325608e+05   7.1366687e+06   4.1099973e+02
   5.6156879e+05   7.1390876e+06   4.3294809e+02
   5.6072500e+05   7.1382813e+06   4.3464398e+02
   5.5650625e+05   7.1326375e+06   4.2955566e+02
   5.5650625e+05   7.1318313e+06   4.2703256e+02
   5.5566250e+05   7.1318313e+06   4.3081775e+02
   5.5819371e+05   7.1294124e+06   4.1100302e+02
   5.5819375e+05   7.1302187e+06   4.2101541e+02
   5.5903750e+05   7.1302187e+06   4.2489618e+02
   5.6325614e+05   7.1286064e+06   4.2703418e+02
   5.6241266e+05   7.1286065e+06   4.2281058e+02
   5.6325604e+05   7.1294123e+06   4.2571399e+02
   5.5144393e+05   7.1366688e+06   4.4299979e+02
   5.5481878e+05   7.1390876e+06   4.4101407e+02
   5.5481875e+05   7.1382813e+06   4.4100262e+02
   5.5397500e+05   7.1382813e+06   4.5206686e+02
   5.5144393e+05   7.1326376e+06   4.4101883e+02
   5.5144393e+05   7.1318313e+06   4.5197433e+02
   5.6325606e+05   7.1382812e+06   4.1485229e+02
   5.6156875e+05   7.1326375e+06   4.3950653e+02
   5.6156875e+05   7.1334438e+06   4.2367587e+02
   5.5144393e+05   7.1334438e+06   4.5710135e+02
   5.5228743e+05   7.1334437e+06   4.4300494e+02
   5.5819375e+05   7.1310250e+06   4.2645700e+02
   5.5650634e+05   7.1286064e+06   4.3260776e+02
   5.5735009e+05   7.1286064e+06   4.1932678e+02
   5.6325607e+05   7.1350562e+06   4.1100000e+02
   5.6156875e+05   7.1302187e+06   4.1100000e+02
   5.6072500e+05   7.1302187e+06   4.1099994e+02
   5.6156875e+05   7.1310250e+06   4.1040646e+02
   5.6325606e+05   7.1302187e+06   4.1100003e+02
   5.5650625e+05   7.1310250e+06   4.3101245e+02
   5.5903759e+05   7.1286064e+06   4.2988809e+02
   5.5819384e+05   7.1286064e+06   4.2107251e+02
   5.5988125e+05   7.1358625e+06   4.5040625e+02
   5.5988125e+05   7.1350563e+06   4.5383682e+02
   5.5144386e+05   7.1398936e+06   4.7108539e+02
   5.6156866e+05   7.1398936e+06   4.4944910e+02
   5.6072492e+05   7.1398936e+06   4.3746585e+02
   5.5228743e+05   7.1318312e+06   4.5338953e+02
   5.5144392e+05   7.1310251e+06   4.5309189e+02
   5.5566250e+05   7.1334438e+06   4.4077502e+02
   5.5650625e+05   7.1342500e+06   4.4979706e+02
   5.5650625e+05   7.1334438e+06   4.4022971e+02
   5.5566250e+05   7.1366688e+06   4.5080289e+02
   5.5650625e+05   7.1374750e+06   4.4099979e+02
   5.6241243e+05   7.1398936e+06   4.4251300e+02
   5.5903750e+05   7.1318313e+06   4.3352197e+02
   5.5819375e+05   7.1318313e+06   4.2531522e+02
   5.5819375e+05   7.1366688e+06   4.6133865e+02
   5.5819375e+05   7.1374750e+06   4.5641327e+02
   5.5566259e+05   7.1286064e+06   4.3248871e+02
   5.6241257e+05   7.1350563e+06   4.2202759e+02
   5.6156875e+05   7.1342500e+06   4.3414761e+02
   5.6156875e+05   7.1350563e+06   4.3804907e+02
   5.6325608e+05   7.1358624e+06   4.1100000e+02
   5.6156871e+05   7.1294124e+06   4.1213654e+02
   5.6156885e+05   7.1286064e+06   4.2294501e+02
   5.6072509e+05   7.1286064e+06   4.3103430e+02
   5.5397500e+05   7.1302187e+06   4.6737170e+02
   5.5481875e+05   7.1310250e+06   4.3473889e+02
   5.5988134e+05   7.1286064e+06   4.2054941e+02
   5.5313125e+05   7.1302187e+06   4.4456091e+02
   5.5988121e+05   7.1294124e+06   4.1100174e+02
   5.5228734e+05   7.1398936e+06   4.6102081e+02
   5.5313116e+05   7.1398936e+06   4.5631763e+02
   5.5481875e+05   7.1334438e+06   4.5274786e+02
   5.5481875e+05   7.1342500e+06   4.6000174e+02
   5.5988129e+05   7.1390876e+06   4.4214819e+02
   5.5903750e+05   7.1382813e+06   4.3452582e+02
   5.5988125e+05   7.1382813e+06   4.3094821e+02
   5.5735000e+05   7.1382813e+06   4.3668918e+02
   5.6156875e+05   7.1318313e+06   4.3170007e+02
   5.5735000e+05   7.1318313e+06   4.1900366e+02
   5.5228743e+05   7.1350562e+06   4.6315610e+02
   5.5313125e+05   7.1358625e+06   4.4998309e+02
   5.5313128e+05   7.1390876e+06   4.5383014e+02
   5.5397491e+05   7.1398936e+06   4.5447781e+02
   5.5734991e+05   7.1398936e+06   4.3109995e+02
   5.5313125e+05   7.1382813e+06   4.5893005e+02
   5.5144396e+05   7.1294126e+06   4.5960370e+02
   5.5144394e+05   7.1302188e+06   4.6597913e+02
   5.5228743e+05   7.1302187e+06   4.6209833e+02
   5.5481865e+05   7.1398936e+06   4.4414859e+02
   5.5903750e+05   7.1334438e+06   4.4883490e+02
   5.5819375e+05   7.1326375e+06   4.3388937e+02
   5.5481884e+05   7.1286064e+06   4.2521582e+02
   5.5397509e+05   7.1286064e+06   4.5996707e+02
   5.5819375e+05   7.1382813e+06   4.2800800e+02
   5.5313125e+05   7.1318312e+06   4.4100000e+02
   5.5313125e+05   7.1310250e+06   4.4100000e+02
   5.5481875e+05   7.1366688e+06   4.5056866e+02
   5.5650616e+05   7.1398936e+06   4.4260315e+02
   5.6156875e+05   7.1358625e+06   4.2294354e+02
   5.6072500e+05   7.1350563e+06   4.3631647e+02
   5.5228743e+05   7.1366687e+06   4.4816803e+02
   5.5313125e+05   7.1374750e+06   4.5821191e+02
   5.5313125e+05   7.1366687e+06   4.3887271e+02
   5.5144393e+05   7.1342501e+06   4.6977274e+02
   5.5903750e+05   7.1366688e+06   4.4745526e+02
   5.5988125e+05   7.1374750e+06   4.3905566e+02
   5.5988125e+05   7.1366688e+06   4.3197348e+02
