X,Y,Z,TMI_nT
10.00000,-10.00000,-4.53850,15.41000
20.00000,-10.00000,-3.87270,9.45980
30.00000,-10.00000,-2.83020,5.17340
40.00000,-10.00000,-1.50090,3.21650
50.00000,-10.00000,0.00785,2.10090
60.00000,-10.00000,1.58580,1.44390
70.00000,-10.00000,3.13250,1.77920
80.00000,-10.00000,4.56740,1.66900
-80.00000,0.00000,4.48180,1.38690
-70.00000,0.00000,3.02440,1.57220
-60.00000,0.00000,1.45330,1.35180
-50.00000,0.00000,-0.14951,1.97360
-40.00000,0.00000,-1.68200,3.24800
-30.00000,0.00000,-3.03220,5.83020
-20.00000,0.00000,-4.09120,11.04300
-10.00000,0.00000,-4.76740,18.14600
0.00000,0.00000,-5.00000,22.10700
10.00000,0.00000,-4.76740,18.30600
20.00000,0.00000,-4.09120,11.24900
30.00000,0.00000,-3.03220,5.94890
40.00000,0.00000,-1.68200,3.39930
50.00000,0.00000,-0.14951,1.91530
60.00000,0.00000,1.45330,1.68650
70.00000,0.00000,3.02440,1.45150
80.00000,0.00000,4.48180,1.34620
-80.00000,10.00000,4.56740,1.39280
-70.00000,10.00000,3.13250,1.52820
-60.00000,10.00000,1.58580,1.55730
-50.00000,10.00000,0.00785,2.12660
-40.00000,10.00000,-1.50090,3.08600
-30.00000,10.00000,-2.83020,5.18850
-20.00000,10.00000,-3.87270,9.60800
-10.00000,10.00000,-4.53850,15.12300
0.00000,10.00000,-4.76740,18.26100
10.00000,10.00000,-4.53850,15.36500
20.00000,10.00000,-3.87270,9.79200
30.00000,10.00000,-2.83020,5.10840
40.00000,10.00000,-1.50090,3.38150
50.00000,10.00000,0.00785,1.88840
60.00000,10.00000,1.58580,1.37640
70.00000,10.00000,3.13250,1.69760
80.00000,10.00000,4.56740,1.41800
-80.00000,20.00000,4.81610,1.37720
-70.00000,20.00000,3.44700,1.39470
-60.00000,20.00000,1.97110,1.47280
-50.00000,20.00000,0.46542,1.96480
-40.00000,20.00000,-0.97423,2.54560
-30.00000,20.00000,-2.24260,4.30460
-20.00000,20.00000,-3.23750,6.61670
-10.00000,20.00000,-3.87270,9.47030
0.00000,20.00000,-4.09120,11.03900
10.00000,20.00000,-3.87270,9.41540
20.00000,20.00000,-3.23750,6.83220
30.00000,20.00000,-2.24260,4.31540
40.00000,20.00000,-0.97423,2.58000
50.00000,20.00000,0.46542,1.95480
60.00000,20.00000,1.97110,1.28520
70.00000,20.00000,3.44700,1.71880
80.00000,20.00000,4.81610,1.39140
-80.00000,30.00000,5.20570,1.40780
-70.00000,30.00000,3.93950,1.77840
-60.00000,30.00000,2.57450,1.65360
-50.00000,30.00000,1.18200,1.71800
-40.00000,30.00000,-0.14951,1.92880
-30.00000,30.00000,-1.32260,2.96780
-20.00000,30.00000,-2.24260,4.36660
-10.00000,30.00000,-2.83020,5.20050
0.00000,30.00000,-3.03220,5.75160
10.00000,30.00000,-2.83020,5.28190
20.00000,30.00000,-2.24260,4.30930
30.00000,30.00000,-1.32260,3.17510
40.00000,30.00000,-0.14951,1.94720
50.00000,30.00000,1.18200,1.70590
60.00000,30.00000,2.57450,1.52680
70.00000,30.00000,3.93950,1.72440
80.00000,30.00000,5.20570,1.67070
-80.00000,40.00000,5.70240,1.35390
-70.00000,40.00000,4.56740,1.49060
-60.00000,40.00000,3.34380,1.41330
-50.00000,40.00000,2.09560,1.59650
-40.00000,40.00000,0.90204,1.78470
-30.00000,40.00000,-0.14951,1.95710
-20.00000,40.00000,-0.97423,2.61550
-10.00000,40.00000,-1.50090,3.37820
0.00000,40.00000,-1.68200,3.57900
10.00000,40.00000,-1.50090,3.20380
20.00000,40.00000,-0.97423,2.54050
30.00000,40.00000,-0.14951,2.02280
40.00000,40.00000,0.90204,1.53700
50.00000,40.00000,2.09560,1.44630
60.00000,40.00000,3.34380,1.60910
70.00000,40.00000,4.56740,1.35170
80.00000,40.00000,5.70240,1.38700
-80.00000,50.00000,6.26620,1.20360
-70.00000,50.00000,5.28000,1.47990
-60.00000,50.00000,4.21700,1.51340
-50.00000,50.00000,3.13250,1.42580
-40.00000,50.00000,2.09560,1.60390
-30.00000,50.00000,1.18200,1.64970
-20.00000,50.00000,0.46542,1.99760
-10.00000,50.00000,0.00785,2.15930
0.00000,50.00000,-0.14951,2.23390
10.00000,50.00000,0.00785,1.95950
20.00000,50.00000,0.46542,1.77090
30.00000,50.00000,1.18200,1.55380
40.00000,50.00000,2.09560,1.51040
50.00000,50.00000,3.13250,1.49140
60.00000,50.00000,4.21700,1.59670
70.00000,50.00000,5.28000,1.63880
80.00000,50.00000,6.26620,1.48510
-80.00000,60.00000,6.85580,1.45840
-70.00000,60.00000,6.02540,1.51330
-60.00000,60.00000,5.13020,1.66540
-50.00000,60.00000,4.21700,1.51950
-40.00000,60.00000,3.34380,1.65580
-30.00000,60.00000,2.57450,1.58540
-20.00000,60.00000,1.97110,1.49650
-10.00000,60.00000,1.58580,1.31230
0.00000,60.00000,1.45330,1.51150
10.00000,60.00000,1.58580,1.50330
20.00000,60.00000,1.97110,1.53220
30.00000,60.00000,2.57450,1.60980
40.00000,60.00000,3.34380,1.68560
50.00000,60.00000,4.21700,1.66090
60.00000,60.00000,5.13020,1.61910
70.00000,60.00000,6.02540,1.54650
80.00000,60.00000,6.85580,1.56760
-80.00000,70.00000,7.43380,1.29950
-70.00000,70.00000,6.75600,1.24400
-60.00000,70.00000,6.02540,1.45420
-50.00000,70.00000,5.28000,1.66150
-40.00000,70.00000,4.56740,1.68650
-30.00000,70.00000,3.93950,1.48430
-20.00000,70.00000,3.44700,1.53040
-10.00000,70.00000,3.13250,1.80280
0.00000,70.00000,3.02440,1.57160
10.00000,70.00000,3.13250,1.40780
20.00000,70.00000,3.44700,1.59580
30.00000,70.00000,3.93950,1.64110
40.00000,70.00000,4.56740,1.32110
50.00000,70.00000,5.28000,1.61920
60.00000,70.00000,6.02540,1.31570
70.00000,70.00000,6.75600,1.46420
80.00000,70.00000,7.43380,1.59200
-80.00000,80.00000,7.97000,1.50360
-70.00000,80.00000,7.43380,1.62240
-60.00000,80.00000,6.85580,1.59780
-50.00000,80.00000,6.26620,1.30440
-40.00000,80.00000,5.70240,1.48710
-30.00000,80.00000,5.20570,1.59400
-20.00000,80.00000,4.81610,1.55750
-10.00000,80.00000,4.56740,1.41140
0.00000,80.00000,4.48180,1.38210
10.00000,80.00000,4.56740,1.36900
20.00000,80.00000,4.81610,1.28440
30.00000,80.00000,5.20570,1.54460
40.00000,80.00000,5.70240,1.47680
50.00000,80.00000,6.26620,1.47460
60.00000,80.00000,6.85580,1.21550
70.00000,80.00000,7.43380,1.40750
80.00000,80.00000,7.97000,1.49760
