X,Y,Z,TMI_nT,Std_nT
889.00000,42869.00000,40.00000,61.20000,6.22400
889.00000,42769.00000,40.00000,24.66000,5.49320
891.00000,42669.00000,40.00000,20.77000,5.41540
891.50000,42569.00000,40.00000,-8.79000,5.17580
891.00000,42469.00000,40.00000,4.19000,5.08380
891.00000,42369.00000,40.00000,5.47000,5.10940
892.60000,42269.00000,40.00000,6.07000,5.12140
898.30000,42169.00000,40.00000,4.39000,5.08780
904.10000,42069.00000,40.00000,1.63000,5.03260
910.10000,41969.00000,40.00000,-0.39000,5.00780
916.80000,41870.00000,40.00000,2.98000,5.05960
921.60000,41770.00000,40.00000,2.32000,5.04640
923.00000,41670.00000,40.00000,2.49000,5.04980
923.00000,41570.00000,40.00000,4.27000,5.08540
922.60000,41470.00000,40.00000,9.02000,5.18040
920.30000,41370.00000,40.00000,18.49000,5.36980
916.00000,41270.00000,40.00000,27.59000,5.55180
908.70000,41170.00000,40.00000,44.04000,5.88080
901.70000,41070.00000,40.00000,65.13000,6.30260
898.10000,40970.00000,40.00000,92.54000,6.85080
896.00000,40871.00000,40.00000,126.71000,7.53420
895.30000,40771.00000,40.00000,169.15000,8.38300
897.00000,40671.00000,40.00000,228.12000,9.56240
892.80000,40571.00000,40.00000,298.76000,10.97520
887.50000,40471.00000,40.00000,386.33000,12.72660
882.30000,40371.00000,40.00000,497.55000,14.95100
880.60000,40271.00000,40.00000,617.16000,17.34320
884.00000,40171.00000,40.00000,707.31000,19.14620
891.20000,40071.00000,40.00000,748.55000,19.97100
992.00000,40028.00000,40.00000,675.90000,18.51800
994.00000,40128.00000,40.00000,641.42000,17.82840
996.20000,40228.00000,40.00000,617.16000,17.34320
999.60000,40328.00000,40.00000,556.56000,16.13120
1004.50000,40427.00000,40.00000,477.71000,14.55420
1009.50000,40527.00000,40.00000,397.19000,12.94380
1016.10000,40627.00000,40.00000,318.22000,11.36440
1023.00000,40727.00000,40.00000,251.62000,10.03240
1025.00000,40827.00000,40.00000,195.02000,8.90040
1023.70000,40927.00000,40.00000,148.76000,7.97520
1022.00000,41027.00000,40.00000,106.04000,7.12080
1018.60000,41127.00000,40.00000,71.80000,6.43600
1014.60000,41227.00000,40.00000,50.58000,6.01160
1010.60000,41327.00000,40.00000,28.96000,5.57920
1004.00000,41426.00000,40.00000,17.74000,5.35480
999.10000,41526.00000,40.00000,10.65000,5.21300
998.00000,41626.00000,40.00000,6.26000,5.12520
996.60000,41726.00000,40.00000,2.71000,5.05420
996.00000,41826.00000,40.00000,2.89000,5.05780
996.00000,41926.00000,40.00000,1.41000,5.02820
994.30000,42026.00000,40.00000,1.81000,5.03620
991.80000,42126.00000,40.00000,3.34000,5.06680
991.00000,42226.00000,40.00000,6.05000,5.12100
991.90000,42326.00000,40.00000,7.78000,5.15560
994.60000,42426.00000,40.00000,8.43000,5.16860
997.30000,42526.00000,40.00000,12.51000,5.25020
1000.00000,42626.00000,40.00000,31.38000,5.62760
1004.50000,42726.00000,40.00000,21.45000,5.42900
1008.50000,42826.00000,40.00000,31.16000,5.62320
1011.50000,42926.00000,40.00000,73.95000,6.47900
1109.00000,42963.00000,40.00000,56.30000,6.12600
1108.70000,42863.00000,40.00000,37.54000,5.75080
1108.00000,42763.00000,40.00000,27.62000,5.55240
1108.00000,42663.00000,40.00000,13.83000,5.27660
1108.90000,42563.00000,40.00000,11.79000,5.23580
1110.00000,42463.00000,40.00000,9.60000,5.19200
1111.00000,42363.00000,40.00000,8.86000,5.17720
1111.00000,42263.00000,40.00000,6.69000,5.13380
1111.00000,42163.00000,40.00000,6.07000,5.12140
1109.40000,42063.00000,40.00000,5.19000,5.10380
1107.10000,41963.00000,40.00000,5.05000,5.10100
1104.00000,41863.00000,40.00000,4.11000,5.08220
1100.50000,41763.00000,40.00000,6.42000,5.12840
1097.10000,41663.00000,40.00000,9.24000,5.18480
1092.70000,41563.00000,40.00000,13.52000,5.27040
1089.10000,41463.00000,40.00000,20.93000,5.41860
1086.90000,41363.00000,40.00000,43.65000,5.87300
1086.10000,41263.00000,40.00000,90.35000,6.80700
1089.80000,41163.00000,40.00000,72.85000,6.45700
1093.60000,41063.00000,40.00000,96.41000,6.92820
1095.00000,40963.00000,40.00000,138.25000,7.76500
1097.60000,40863.00000,40.00000,184.91000,8.69820
1102.50000,40764.00000,40.00000,237.75000,9.75500
1104.80000,40664.00000,40.00000,300.73000,11.01460
1108.10000,40564.00000,40.00000,372.42000,12.44840
1110.50000,40464.00000,40.00000,441.66000,13.83320
1112.60000,40364.00000,40.00000,507.09000,15.14180
1114.00000,40264.00000,40.00000,544.61000,15.89220
1114.00000,40164.00000,40.00000,565.30000,16.30600
1115.30000,40064.00000,40.00000,608.11000,17.16220
1181.00000,40026.00000,40.00000,605.30000,17.10600
1184.20000,40126.00000,40.00000,583.35000,16.66700
1190.10000,40226.00000,40.00000,528.54000,15.57080
1197.40000,40325.00000,40.00000,506.89000,15.13780
1204.30000,40425.00000,40.00000,477.41000,14.54820
1212.70000,40525.00000,40.00000,425.50000,13.51000
1219.00000,40624.00000,40.00000,366.67000,12.33340
1217.60000,40724.00000,40.00000,306.28000,11.12560
1214.30000,40824.00000,40.00000,244.61000,9.89220
1209.00000,40924.00000,40.00000,190.76000,8.81520
1202.80000,41024.00000,40.00000,144.88000,7.89760
1198.50000,41124.00000,40.00000,105.10000,7.10200
1194.40000,41224.00000,40.00000,84.61000,6.69220
1191.90000,41324.00000,40.00000,320.03000,11.40060
1193.50000,41424.00000,40.00000,100.95000,7.01900
1199.00000,41524.00000,40.00000,29.85000,5.59700
1203.30000,41623.00000,40.00000,13.88000,5.27760
1207.00000,41723.00000,40.00000,11.82000,5.23640
