X,Y,Z,Anomalia_Bouguer_mGal,Error_Est
557040.00000,7133360.00000,428.14820,-0.35647,0.00000
557060.00000,7133360.00000,427.28150,-0.40258,0.00000
557080.00000,7133360.00000,426.86950,-0.45425,0.00000
557100.00000,7133360.00000,426.78550,-0.51080,0.00000
557120.00000,7133360.00000,426.78550,-0.57075,0.00000
557140.00000,7133360.00000,426.86630,-0.63156,0.00000
557160.00000,7133360.00000,426.95760,-0.68961,0.00000
557180.00000,7133360.00000,426.99820,-0.74075,0.00000
557200.00000,7133360.00000,426.99820,-0.78110,0.00000
557220.00000,7133360.00000,427.00900,-0.80755,0.00000
557240.00000,7133360.00000,427.00590,-0.81779,0.00000
557260.00000,7133360.00000,427.00830,-0.81044,0.00000
557280.00000,7133360.00000,427.00830,-0.78610,0.00000
557300.00000,7133360.00000,427.00640,-0.74740,0.00000
557320.00000,7133360.00000,426.98800,-0.69854,0.00000
557340.00000,7133360.00000,426.94600,-0.64429,0.00000
557360.00000,7133360.00000,426.94600,-0.58889,0.00000
557380.00000,7133360.00000,426.91700,-0.53527,0.00000
557400.00000,7133360.00000,426.98400,-0.48514,0.00000
557420.00000,7133360.00000,427.23040,-0.43925,0.00000
557440.00000,7133360.00000,427.23040,-0.39724,0.00000
557460.00000,7133360.00000,427.71160,-0.35958,0.00000
557480.00000,7133360.00000,428.41720,-0.32567,0.00000
557500.00000,7133360.00000,429.27270,-0.29507,0.00000
557520.00000,7133360.00000,429.27270,-0.26653,0.00000
557540.00000,7133360.00000,430.16790,-0.24144,0.00000
557560.00000,7133360.00000,430.99880,-0.21866,0.00000
557580.00000,7133360.00000,431.71700,-0.19798,0.00000
557600.00000,7133360.00000,431.71700,-0.17879,0.00000
557000.00000,7133380.00000,429.37800,-0.30278,0.00000
557020.00000,7133380.00000,429.37800,-0.34464,0.00000
557040.00000,7133380.00000,428.14820,-0.39265,0.00000
557060.00000,7133380.00000,427.28150,-0.44829,0.00000
557080.00000,7133380.00000,426.86950,-0.51194,0.00000
557100.00000,7133380.00000,426.78550,-0.58313,0.00000
557120.00000,7133380.00000,426.78550,-0.66031,0.00000
557140.00000,7133380.00000,426.86630,-0.74013,0.00000
557160.00000,7133380.00000,426.95760,-0.81737,0.00000
557180.00000,7133380.00000,426.99820,-0.88570,0.00000
557200.00000,7133380.00000,426.99820,-0.93980,0.00000
