X,Y,Z,TMI_nT,Error_Est
557060.00000,7133360.00000,442.28150,0.72860,1.00000
557080.00000,7133360.00000,441.86950,4.27215,1.00000
557100.00000,7133360.00000,441.78550,5.14493,1.00000
557120.00000,7133360.00000,441.78550,6.52443,1.00000
557140.00000,7133360.00000,441.86630,9.27449,1.00000
557160.00000,7133360.00000,441.95760,11.65055,1.00000
557180.00000,7133360.00000,441.99820,14.98330,1.00000
557200.00000,7133360.00000,441.99820,15.53126,1.00000
557220.00000,7133360.00000,442.00900,17.51972,1.00000
557240.00000,7133360.00000,442.00590,16.42453,1.00000
557260.00000,7133360.00000,442.00830,17.38078,1.00000
557280.00000,7133360.00000,442.00830,14.61437,1.00000
557300.00000,7133360.00000,442.00640,10.38159,1.00000
557320.00000,7133360.00000,441.98800,9.44767,1.00000
557340.00000,7133360.00000,441.94600,5.97107,1.00000
557360.00000,7133360.00000,441.94600,3.37653,1.00000
557380.00000,7133360.00000,441.91700,1.65005,1.00000
557400.00000,7133360.00000,441.98400,-0.40558,1.00000
557420.00000,7133360.00000,442.23040,0.07230,1.00000
557440.00000,7133360.00000,442.23040,-1.98840,1.00000
557460.00000,7133360.00000,442.71160,-2.86118,1.00000
557480.00000,7133360.00000,443.41720,-1.15848,1.00000
557500.00000,7133360.00000,444.27270,-0.91563,1.00000
557520.00000,7133360.00000,444.27270,-3.95479,1.00000
557540.00000,7133360.00000,445.16790,-4.00766,1.00000
557560.00000,7133360.00000,445.99880,-3.86315,1.00000
557580.00000,7133360.00000,446.71700,-3.11799,1.00000
557600.00000,7133360.00000,446.71700,-3.05798,1.00000
557000.00000,7133380.00000,444.37800,-0.54797,1.00000
557020.00000,7133380.00000,444.37800,3.16878,1.00000
557040.00000,7133380.00000,443.14820,2.73572,1.00000
557060.00000,7133380.00000,442.28150,3.85426,1.00000
557080.00000,7133380.00000,441.86950,6.01936,1.00000
557100.00000,7133380.00000,441.78550,5.99113,1.00000
557120.00000,7133380.00000,441.78550,12.87368,1.00000
557140.00000,7133380.00000,441.86630,16.23760,1.00000
557160.00000,7133380.00000,441.95760,16.44552,1.00000
557180.00000,7133380.00000,441.99820,21.87314,1.00000
557200.00000,7133380.00000,441.99820,23.40277,1.00000
557220.00000,7133380.00000,442.00900,23.71820,1.00000
557240.00000,7133380.00000,442.00590,25.10910,1.00000
557260.00000,7133380.00000,442.00830,23.57428,1.00000
557280.00000,7133380.00000,442.00830,20.36559,1.00000
557300.00000,7133380.00000,442.00640,19.50674,1.00000
557320.00000,7133380.00000,441.98800,14.00757,1.00000
557340.00000,7133380.00000,441.94600,11.16180,1.00000
557360.00000,7133380.00000,441.94600,7.71945,1.00000
557380.00000,7133380.00000,441.91700,3.38251,1.00000
557400.00000,7133380.00000,441.98400,1.25739,1.00000
557420.00000,7133380.00000,442.23040,0.77871,1.00000
557440.00000,7133380.00000,442.23040,-0.53085,1.00000
557460.00000,7133380.00000,442.71160,-0.50207,1.00000
557480.00000,7133380.00000,443.41720,-2.79708,1.00000
557500.00000,7133380.00000,444.27270,-2.75577,1.00000
557520.00000,7133380.00000,444.27270,-1.42373,1.00000
557540.00000,7133380.00000,445.16790,-3.28429,1.00000
557560.00000,7133380.00000,445.99880,-3.75816,1.00000
557580.00000,7133380.00000,446.71700,-3.75868,1.00000
557600.00000,7133380.00000,446.71700,-3.28585,1.00000
557000.00000,7133400.00000,444.42140,-0.39621,1.00000
557020.00000,7133400.00000,444.42140,1.29394,1.00000
557040.00000,7133400.00000,443.12480,2.67402,1.00000
557060.00000,7133400.00000,442.26220,3.70649,1.00000
557080.00000,7133400.00000,441.85130,5.26094,1.00000
557100.00000,7133400.00000,441.78520,11.90864,1.00000
557120.00000,7133400.00000,441.78520,15.03109,1.00000
557140.00000,7133400.00000,441.87450,19.51067,1.00000
557160.00000,7133400.00000,441.96110,26.90396,1.00000
557180.00000,7133400.00000,442.00610,28.73516,1.00000
557200.00000,7133400.00000,442.00610,34.41666,1.00000
557220.00000,7133400.00000,442.01100,33.36767,1.00000
557240.00000,7133400.00000,442.00730,35.71328,1.00000
557260.00000,7133400.00000,442.00920,34.48468,1.00000
557280.00000,7133400.00000,442.00920,31.93614,1.00000
557300.00000,7133400.00000,442.00900,26.82407,1.00000
557320.00000,7133400.00000,441.98590,21.69762,1.00000
557340.00000,7133400.00000,441.93620,15.90919,1.00000
557360.00000,7133400.00000,441.93620,9.73274,1.00000
557380.00000,7133400.00000,441.91440,5.53363,1.00000
557400.00000,7133400.00000,442.00610,3.40703,1.00000
557420.00000,7133400.00000,442.29500,1.96086,1.00000
557440.00000,7133400.00000,442.29500,0.58037,1.00000
557460.00000,7133400.00000,442.81450,-0.72508,1.00000
557480.00000,7133400.00000,443.54450,-0.89962,1.00000
557500.00000,7133400.00000,444.41870,-3.49462,1.00000
557520.00000,7133400.00000,444.41870,-2.84220,1.00000
